nutrition,value,measure,food_product,pr_daily_norm
Vitamin K (phylloquinone),56.6,UG,artichoke,47.16666666666667
"Folate, DFE",18.0,UG,artichoke,4.5
Cholesterol,39.0,MG,artichoke,13.0
"Fatty acids, total saturated",8.27,G,artichoke,41.349999999999994
Protein,0.5,G,asian pear,1.0
Total lipid (fat),0.23,G,asian pear,0.2948717948717949
"Carbohydrate, by difference",10.6,G,asian pear,3.854545454545454
"Fiber, total dietary",3.6,G,asian pear,12.85714285714286
"Calcium, Ca",4.0,MG,asian pear,0.3076923076923077
"Iron, Fe",0.0,MG,asian pear,0.0
"Magnesium, Mg",8.0,MG,asian pear,1.9047619047619049
"Phosphorus, P",11.0,MG,asian pear,0.88
"Potassium, K",121,MG,asian pear,2.574468085106383
"Sodium, Na",0.0,MG,asian pear,0.0
"Zinc, Zn",0.02,MG,asian pear,0.18181818181818182
"Copper, Cu",0.05,MG,asian pear,5.555555555555556
"Selenium, Se",0.1,UG,asian pear,0.18181818181818182
"Vitamin A, RAE",0.0,UG,asian pear,0.0
Vitamin E (alpha-tocopherol),0.12,MG,asian pear,0.8
Vitamin D (D2 + D3),0.0,UG,asian pear,0.0
"Vitamin C, total ascorbic acid",3.8,MG,asian pear,4.222222222222222
Thiamin,0.009,MG,asian pear,0.75
Riboflavin,0.01,MG,asian pear,0.7692307692307692
Niacin,0.219,MG,asian pear,1.36875
Vitamin B-6,0.022,MG,asian pear,1.2941176470588236
Vitamin B-12,0.0,UG,asian pear,0.0
"Choline, total",5.1,MG,asian pear,0.9272727272727272
Vitamin K (phylloquinone),4.5,UG,asian pear,3.75
"Folate, DFE",8.0,UG,asian pear,2.0
Cholesterol,0.0,MG,asian pear,0.0
"Fatty acids, total saturated",0.012,G,asian pear,0.060000000000000005
"Fatty acids, total saturated",0.04,G,asparagus,0.2
"Vitamin C, total ascorbic acid",5.6,MG,asparagus,6.222222222222222
Protein,2.2,G,asparagus,4.4
Vitamin E (alpha-tocopherol),1.13,MG,asparagus,7.533333333333332
"Choline, total",16.0,MG,asparagus,2.909090909090909
"Sodium, Na",2.0,MG,asparagus,0.08695652173913043
Cholesterol,0.0,MG,asparagus,0.0
Vitamin B-12,0.0,UG,asparagus,0.0
"Carbohydrate, by difference",3.88,G,asparagus,1.410909090909091
"Folate, DFE",52.0,UG,asparagus,13.0
"Vitamin A, RAE",38.0,UG,asparagus,4.222222222222222
Vitamin D (D2 + D3),0.0,UG,asparagus,0.0
"Selenium, Se",2.3,UG,asparagus,4.181818181818182
"Copper, Cu",0.189,MG,asparagus,21.0
"Manganese, Mn",0.158,MG,asparagus,6.869565217391305
"Fiber, total dietary",2.1,G,asparagus,7.5
"Iron, Fe",2.14,MG,asparagus,11.88888888888889
"Magnesium, Mg",14.0,MG,asparagus,3.3333333333333335
"Phosphorus, P",52.0,MG,asparagus,4.16
Vitamin K (phylloquinone),41.6,UG,asparagus,34.66666666666667
Thiamin,0.143,MG,asparagus,11.916666666666666
Riboflavin,0.141,MG,asparagus,10.846153846153845
Total lipid (fat),0.12,G,asparagus,0.15384615384615385
"Calcium, Ca",24.0,MG,asparagus,1.8461538461538463
"Potassium, K",202,MG,asparagus,4.297872340425532
"Zinc, Zn",0.54,MG,asparagus,4.909090909090909
Niacin,0.978,MG,asparagus,6.1125
Pantothenic acid,0.274,MG,asparagus,5.48
Vitamin B-6,0.091,MG,asparagus,5.352941176470588
Protein,1.9,G,avocado,3.8
Total lipid (fat),43.3,G,avocado,55.512820512820504
"Carbohydrate, by difference",7.36,G,avocado,2.6763636363636363
"Fiber, total dietary",0.1,G,avocado,0.35714285714285715
"Calcium, Ca",34.0,MG,avocado,2.6153846153846154
"Iron, Fe",0.35,MG,avocado,1.9444444444444444
"Magnesium, Mg",7.0,MG,avocado,1.6666666666666667
"Phosphorus, P",31.0,MG,avocado,2.48
"Potassium, K",58.0,MG,avocado,1.2340425531914894
"Sodium, Na",867,MG,avocado,37.69565217391304
"Zinc, Zn",0.25,MG,avocado,2.272727272727273
"Copper, Cu",0.01,MG,avocado,1.1111111111111112
"Selenium, Se",1.6,UG,avocado,2.909090909090909
"Vitamin A, RAE",10.0,UG,avocado,1.1111111111111112
Vitamin E (alpha-tocopherol),4.6,MG,avocado,30.666666666666664
Vitamin D (D2 + D3),0.0,UG,avocado,0.0
"Vitamin C, total ascorbic acid",0.2,MG,avocado,0.2222222222222222
Thiamin,0.02,MG,avocado,1.6666666666666667
Riboflavin,0.05,MG,avocado,3.8461538461538463
Niacin,0.14,MG,avocado,0.8750000000000001
Vitamin B-6,0.01,MG,avocado,0.5882352941176471
Vitamin B-12,0.26,UG,avocado,10.833333333333334
"Choline, total",3.6,MG,avocado,0.6545454545454545
Vitamin K (phylloquinone),96.7,UG,avocado,80.58333333333334
"Folate, DFE",4.0,UG,avocado,1.0
Cholesterol,40.0,MG,avocado,13.333333333333334
"Fatty acids, total saturated",5.98,G,avocado,29.900000000000006
Protein,32.0,G,bacon,64.0
Total lipid (fat),25.9,G,bacon,33.205128205128204
"Carbohydrate, by difference",28.6,G,bacon,10.4
"Fiber, total dietary",10.2,G,bacon,36.42857142857142
"Calcium, Ca",101,MG,bacon,7.769230769230768
"Iron, Fe",0.72,MG,bacon,4.0
"Magnesium, Mg",95.0,MG,bacon,22.61904761904762
"Phosphorus, P",217,MG,bacon,17.36
"Potassium, K",145,MG,bacon,3.0851063829787235
"Sodium, Na",1770.0,MG,bacon,76.95652173913044
"Zinc, Zn",1.87,MG,bacon,17.0
"Copper, Cu",0.539,MG,bacon,59.88888888888889
"Selenium, Se",7.4,UG,bacon,13.454545454545455
"Vitamin A, RAE",0.0,UG,bacon,0.0
Vitamin E (alpha-tocopherol),6.9,MG,bacon,46.0
Vitamin D (D2 + D3),0.0,UG,bacon,0.0
"Vitamin C, total ascorbic acid",1.9,MG,bacon,2.111111111111111
Thiamin,0.6,MG,bacon,50.0
Riboflavin,0.07,MG,bacon,5.384615384615385
Niacin,1.6,MG,bacon,10.0
Vitamin B-6,0.08,MG,bacon,4.705882352941177
Vitamin B-12,1.2,UG,bacon,50.0
"Choline, total",135,MG,bacon,24.545454545454547
Vitamin K (phylloquinone),0.0,UG,bacon,0.0
"Folate, DFE",127,UG,bacon,31.75
Cholesterol,0.0,MG,bacon,0.0
"Fatty acids, total saturated",4.06,G,bacon,20.299999999999997
Vitamin D (D2 + D3),0.0,UG,banana,0.0
Vitamin K (phylloquinone),0.0,UG,banana,0.0
"Vitamin A, RAE",0.0,UG,banana,0.0
Vitamin E (alpha-tocopherol),0.02,MG,banana,0.13333333333333333
"Folate, DFE",1.0,UG,banana,0.25
"Choline, total",2.3,MG,banana,0.41818181818181815
Total lipid (fat),0.1,G,banana,0.1282051282051282
"Carbohydrate, by difference",12.3,G,banana,4.472727272727273
"Calcium, Ca",7.0,MG,banana,0.5384615384615384
"Potassium, K",123,MG,banana,2.617021276595745
"Zinc, Zn",0.04,MG,banana,0.36363636363636365
Vitamin B-6,0.06,MG,banana,3.5294117647058822
Niacin,0.14,MG,banana,0.8750000000000001
Protein,0.2,G,banana,0.4
"Phosphorus, P",8.0,MG,banana,0.64
Vitamin B-12,0.0,UG,banana,0.0
Thiamin,0.01,MG,banana,0.8333333333333334
Cholesterol,0.0,MG,banana,0.0
Riboflavin,0.01,MG,banana,0.7692307692307692
"Fatty acids, total saturated",0.018,G,banana,0.09
"Sodium, Na",4.0,MG,banana,0.17391304347826086
"Copper, Cu",0.02,MG,banana,2.2222222222222223
"Manganese, Mn",0.08,MG,banana,3.4782608695652173
"Fiber, total dietary",0.2,G,banana,0.7142857142857143
"Iron, Fe",0.2,MG,banana,1.1111111111111112
"Magnesium, Mg",6.0,MG,banana,1.4285714285714286
"Vitamin C, total ascorbic acid",27.9,MG,banana,31.0
Pantothenic acid,0.125,MG,banana,2.5
"Selenium, Se",0.3,UG,banana,0.5454545454545454
"Iron, Fe",3.17,MG,basil,17.61111111111111
