nutrition,value,measure,food_product
"Tocopherol, delta",0.0,MG,macadamia nut
SFA 17:0,0.124,G,macadamia nut
SFA 24:0,0.281,G,macadamia nut
MUFA 24:1 c,0.018,G,macadamia nut
SFA 8:0,0.0,G,macadamia nut
SFA 12:0,0.076,G,macadamia nut
SFA 14:0,0.659,G,macadamia nut
PUFA 22:6 n-3 (DHA),0.0,G,macadamia nut
SFA 22:0,0.616,G,macadamia nut
MUFA 14:1,0.0,G,macadamia nut
MUFA 16:1,13.0,G,macadamia nut
PUFA 20:5 n-3 (EPA),0.0,G,macadamia nut
PUFA 22:5 n-3 (DPA),0.0,G,macadamia nut
"Tocopherol, beta",0.0,MG,macadamia nut
"Tocopherol, gamma",0.0,MG,macadamia nut
MUFA 18:1,43.8,G,macadamia nut
PUFA 18:2,1.3,G,macadamia nut
PUFA 18:3,0.206,G,macadamia nut
PUFA 20:4,0.0,G,macadamia nut
PUFA 18:4,0.0,G,macadamia nut
MUFA 20:1,1.89,G,macadamia nut
MUFA 22:1,0.233,G,macadamia nut
SFA 4:0,0.0,G,macadamia nut
SFA 6:0,0.0,G,macadamia nut
SFA 10:0,0.0,G,macadamia nut
SFA 16:0,6.04,G,macadamia nut
SFA 18:0,2.33,G,macadamia nut
SFA 15:0,0.0,G,macadamia nut
"PUFA 20:2 n-6 c,c",0.0,G,macadamia nut
PUFA 20:3,0.0,G,macadamia nut
SFA 13:0,0.0,G,macadamia nut
"Vitamin D (D2 + D3), International Units",0.0,IU,macadamia nut
Vitamin D (D2 + D3),0.0,UG,macadamia nut
"Vitamin A, IU",0.0,IU,macadamia nut
"Alcohol, ethyl",0.0,G,macadamia nut
Energy,718,KCAL,macadamia nut
"Fatty acids, total saturated",12.1,G,macadamia nut
"Folate, food",11.0,UG,macadamia nut
Tryptophan,0.067,G,macadamia nut
Threonine,0.37,G,macadamia nut
Methionine,0.023,G,macadamia nut
Phenylalanine,0.665,G,macadamia nut
Tyrosine,0.511,G,macadamia nut
Alanine,0.388,G,macadamia nut
Glutamic acid,2.27,G,macadamia nut
Glycine,0.454,G,macadamia nut
Proline,0.468,G,macadamia nut
SFA 20:0,1.94,G,macadamia nut
"Fatty acids, total monounsaturated",58.9,G,macadamia nut
"Fatty acids, total polyunsaturated",1.5,G,macadamia nut
Folic acid,0.0,UG,macadamia nut
"Folate, DFE",11.0,UG,macadamia nut
Isoleucine,0.314,G,macadamia nut
Leucine,0.602,G,macadamia nut
Lysine,0.018,G,macadamia nut
Cystine,0.006,G,macadamia nut
Valine,0.363,G,macadamia nut
Arginine,1.4,G,macadamia nut
Histidine,0.195,G,macadamia nut
Aspartic acid,1.1,G,macadamia nut
Serine,0.419,G,macadamia nut
"Carbohydrate, by difference",13.8,G,macadamia nut
Caffeine,0.0,MG,macadamia nut
Retinol,0.0,UG,macadamia nut
"Vitamin A, RAE",0.0,UG,macadamia nut
Theobromine,0.0,MG,macadamia nut
"Sugars, Total",4.57,G,macadamia nut
"Selenium, Se",3.6,UG,macadamia nut
Phytosterols,116,MG,macadamia nut
Vitamin B-12,0.0,UG,macadamia nut
Cholesterol,0.0,MG,macadamia nut
Protein,7.91,G,macadamia nut
Ash,1.14,G,macadamia nut
Starch,1.05,G,macadamia nut
Fructose,0.07,G,macadamia nut
Lactose,0.0,G,macadamia nut
"Vitamin C, total ascorbic acid",1.2,MG,macadamia nut
Thiamin,1.2,MG,macadamia nut
Riboflavin,0.162,MG,macadamia nut
"Folate, total",11.0,UG,macadamia nut
"Fiber, total dietary",8.6,G,macadamia nut
"Iron, Fe",3.69,MG,macadamia nut
"Magnesium, Mg",130,MG,macadamia nut
"Phosphorus, P",188,MG,macadamia nut
"Sodium, Na",5.0,MG,macadamia nut
"Copper, Cu",0.756,MG,macadamia nut
"Manganese, Mn",4.13,MG,macadamia nut
Campesterol,8.0,MG,macadamia nut
Vitamin E (alpha-tocopherol),0.54,MG,macadamia nut
"Calcium, Ca",85.0,MG,macadamia nut
"Potassium, K",368,MG,macadamia nut
"Zinc, Zn",1.3,MG,macadamia nut
Total lipid (fat),75.8,G,macadamia nut
Sucrose,4.43,G,macadamia nut
Glucose,0.07,G,macadamia nut
Maltose,0.0,G,macadamia nut
Water,1.36,G,macadamia nut
Niacin,2.47,MG,macadamia nut
Pantothenic acid,0.758,MG,macadamia nut
Vitamin B-6,0.275,MG,macadamia nut
Stigmasterol,0.0,MG,macadamia nut
Beta-sitosterol,108,MG,macadamia nut
Protein,8.68,G,macaroni and cheese
Total lipid (fat),10.5,G,macaroni and cheese
"Carbohydrate, by difference",23.1,G,macaroni and cheese
Energy,223,KCAL,macaroni and cheese
"Alcohol, ethyl",0.0,G,macaroni and cheese
Water,56.1,G,macaroni and cheese
Caffeine,0.0,MG,macaroni and cheese
Theobromine,0.0,MG,macaroni and cheese
"Sugars, total including NLEA",2.44,G,macaroni and cheese
"Fiber, total dietary",1.2,G,macaroni and cheese
"Calcium, Ca",170,MG,macaroni and cheese
"Iron, Fe",1.06,MG,macaroni and cheese
"Magnesium, Mg",20.0,MG,macaroni and cheese
"Phosphorus, P",148,MG,macaroni and cheese
"Potassium, K",103,MG,macaroni and cheese
"Sodium, Na",358,MG,macaroni and cheese
"Zinc, Zn",1.08,MG,macaroni and cheese
"Copper, Cu",0.074,MG,macaroni and cheese
"Selenium, Se",19.8,UG,macaroni and cheese
Retinol,105,UG,macaroni and cheese
"Vitamin A, RAE",106,UG,macaroni and cheese
"Carotene, beta",18.0,UG,macaroni and cheese
"Carotene, alpha",0.0,UG,macaroni and cheese
Vitamin E (alpha-tocopherol),0.51,MG,macaroni and cheese
Vitamin D (D2 + D3),0.5,UG,macaroni and cheese
"Cryptoxanthin, beta",0.0,UG,macaroni and cheese
Lycopene,0.0,UG,macaroni and cheese
Lutein + zeaxanthin,3.0,UG,macaroni and cheese
"Vitamin C, total ascorbic acid",0.0,MG,macaroni and cheese
Thiamin,0.192,MG,macaroni and cheese
Riboflavin,0.206,MG,macaroni and cheese
Niacin,1.29,MG,macaroni and cheese
Vitamin B-6,0.111,MG,macaroni and cheese
"Folate, total",35.0,UG,macaroni and cheese
Vitamin B-12,0.27,UG,macaroni and cheese
"Choline, total",12.2,MG,macaroni and cheese
Vitamin K (phylloquinone),3.1,UG,macaroni and cheese
Folic acid,28.0,UG,macaroni and cheese
"Folate, food",7.0,UG,macaroni and cheese
"Folate, DFE",54.0,UG,macaroni and cheese
"Vitamin E, added",0.0,MG,macaroni and cheese
"Vitamin B-12, added",0.0,UG,macaroni and cheese
Cholesterol,25.0,MG,macaroni and cheese
"Fatty acids, total saturated",5.15,G,macaroni and cheese
SFA 4:0,0.176,G,macaroni and cheese
SFA 6:0,0.138,G,macaroni and cheese
SFA 8:0,0.086,G,macaroni and cheese
SFA 10:0,0.207,G,macaroni and cheese
SFA 12:0,0.241,G,macaroni and cheese
SFA 14:0,0.763,G,macaroni and cheese
SFA 16:0,2.43,G,macaroni and cheese
SFA 18:0,0.957,G,macaroni and cheese
MUFA 18:1,2.34,G,macaroni and cheese
PUFA 18:2,1.01,G,macaroni and cheese
PUFA 18:3,0.106,G,macaroni and cheese
PUFA 20:4,0.012,G,macaroni and cheese
PUFA 22:6 n-3 (DHA),0.0,G,macaroni and cheese
MUFA 16:1,0.121,G,macaroni and cheese
PUFA 18:4,0.001,G,macaroni and cheese
MUFA 20:1,0.017,G,macaroni and cheese
PUFA 20:5 n-3 (EPA),0.002,G,macaroni and cheese
MUFA 22:1,0.0,G,macaroni and cheese
PUFA 22:5 n-3 (DPA),0.004,G,macaroni and cheese
"Fatty acids, total monounsaturated",2.41,G,macaroni and cheese
"Fatty acids, total polyunsaturated",1.1,G,macaroni and cheese
Protein,1.34,G,mandoline
Total lipid (fat),2.15,G,mandoline
"Carbohydrate, by difference",29.6,G,mandoline
Energy,134,KCAL,mandoline
"Alcohol, ethyl",0.0,G,mandoline
Water,66.3,G,mandoline
Caffeine,0.0,MG,mandoline
Theobromine,0.0,MG,mandoline
"Sugars, total including NLEA",24.2,G,mandoline
"Fiber, total dietary",1.8,G,mandoline
"Calcium, Ca",39.0,MG,mandoline
"Iron, Fe",0.12,MG,mandoline
"Magnesium, Mg",8.0,MG,mandoline
"Phosphorus, P",37.0,MG,mandoline
"Potassium, K",134,MG,mandoline
"Sodium, Na",62.0,MG,mandoline
"Zinc, Zn",0.14,MG,mandoline
"Copper, Cu",0.025,MG,mandoline
"Selenium, Se",0.4,UG,mandoline
Retinol,3.0,UG,mandoline
"Vitamin A, RAE",5.0,UG,mandoline
"Carotene, beta",21.0,UG,mandoline
"Carotene, alpha",0.0,UG,mandoline
Vitamin E (alpha-tocopherol),0.25,MG,mandoline
Vitamin D (D2 + D3),0.0,UG,mandoline
"Cryptoxanthin, beta",8.0,UG,mandoline
Lycopene,0.0,UG,mandoline
Lutein + zeaxanthin,22.0,UG,mandoline
"Vitamin C, total ascorbic acid",3.6,MG,mandoline
Thiamin,0.038,MG,mandoline
Riboflavin,0.084,MG,mandoline
Niacin,0.105,MG,mandoline
Vitamin B-6,0.045,MG,mandoline
"Folate, total",3.0,UG,mandoline
Vitamin B-12,0.08,UG,mandoline
"Choline, total",4.6,MG,mandoline
Vitamin K (phylloquinone),2.1,UG,mandoline
Folic acid,0.0,UG,mandoline
"Folate, food",3.0,UG,mandoline
"Folate, DFE",3.0,UG,mandoline
"Vitamin E, added",0.0,MG,mandoline
"Vitamin B-12, added",0.0,UG,mandoline
Cholesterol,2.0,MG,mandoline
"Fatty acids, total saturated",0.64,G,mandoline
SFA 4:0,0.012,G,mandoline
SFA 6:0,0.003,G,mandoline
SFA 8:0,0.003,G,mandoline
SFA 10:0,0.006,G,mandoline
SFA 12:0,0.004,G,mandoline
SFA 14:0,0.048,G,mandoline
SFA 16:0,0.488,G,mandoline
SFA 18:0,0.076,G,mandoline
MUFA 18:1,0.367,G,mandoline
PUFA 18:2,0.894,G,mandoline
PUFA 18:3,0.013,G,mandoline
PUFA 20:4,0.002,G,mandoline
PUFA 22:6 n-3 (DHA),0.0,G,mandoline
MUFA 16:1,0.024,G,mandoline
PUFA 18:4,0.0,G,mandoline
MUFA 20:1,0.0,G,mandoline
PUFA 20:5 n-3 (EPA),0.0,G,mandoline
MUFA 22:1,0.0,G,mandoline
PUFA 22:5 n-3 (DPA),0.0,G,mandoline
"Fatty acids, total monounsaturated",0.391,G,mandoline
"Fatty acids, total polyunsaturated",0.908,G,mandoline
Energy,48.0,KCAL,mango
Protein,0.47,G,mango
Ash,0.32,G,mango
"Alcohol, ethyl",0.0,G,mango
"Iron, Fe",0.17,MG,mango
"Magnesium, Mg",6.0,MG,mango
"Phosphorus, P",11.0,MG,mango
"Sodium, Na",2.0,MG,mango
"Copper, Cu",0.061,MG,mango
"Manganese, Mn",0.089,MG,mango
"Vitamin A, IU",294,IU,mango
Retinol,0.0,UG,mango
"Vitamin A, RAE",15.0,UG,mango
"Carotene, beta",170,UG,mango
"Carotene, alpha",2.0,UG,mango
Vitamin D (D2 + D3),0.0,UG,mango
"Cryptoxanthin, beta",10.0,UG,mango
Lycopene,1.0,UG,mango
"Tocopherol, delta",0.0,MG,mango
"Tocotrienol, gamma",0.01,MG,mango
"Tocotrienol, delta",0.0,MG,mango
"Vitamin C, total ascorbic acid",23.3,MG,mango
Thiamin,0.018,MG,mango
Riboflavin,0.018,MG,mango
"Folate, total",14.0,UG,mango
Vitamin B-12,0.0,UG,mango
Vitamin K (Dihydrophylloquinone),0.0,UG,mango
Vitamin K (phylloquinone),5.9,UG,mango
"Folate, food",14.0,UG,mango
"Vitamin B-12, added",0.0,UG,mango
Cholesterol,0.0,MG,mango
"Fatty acids, total saturated",0.0,G,mango
SFA 8:0,0.0,G,mango
SFA 12:0,0.0,G,mango
SFA 14:0,0.0,G,mango
PUFA 22:6 n-3 (DHA),0.0,G,mango
MUFA 16:1,0.0,G,mango
PUFA 20:5 n-3 (EPA),0.0,G,mango
PUFA 22:5 n-3 (DPA),0.0,G,mango
Water,86.3,G,mango
Caffeine,0.0,MG,mango
Theobromine,0.0,MG,mango
"Sugars, Total",10.2,G,mango
"Calcium, Ca",9.0,MG,mango
"Potassium, K",123,MG,mango
"Zinc, Zn",0.06,MG,mango
"Fluoride, F",9.1,UG,mango
"Selenium, Se",0.3,UG,mango
Vitamin E (alpha-tocopherol),0.41,MG,mango
"Vitamin D (D2 + D3), International Units",0.0,IU,mango
Lutein + zeaxanthin,30.0,UG,mango
"Tocopherol, beta",0.0,MG,mango
"Tocopherol, gamma",0.0,MG,mango
"Tocotrienol, alpha",0.01,MG,mango
"Tocotrienol, beta",0.0,MG,mango
Niacin,0.25,MG,mango
Pantothenic acid,0.093,MG,mango
Vitamin B-6,0.059,MG,mango
"Choline, total",4.5,MG,mango
Folic acid,0.0,UG,mango
"Folate, DFE",14.0,UG,mango
Betaine,0.1,MG,mango
"Vitamin E, added",0.0,MG,mango
SFA 4:0,0.0,G,mango
SFA 6:0,0.0,G,mango
SFA 10:0,0.0,G,mango
SFA 16:0,0.0,G,mango
SFA 18:0,0.0,G,mango
MUFA 18:1,0.0,G,mango
PUFA 18:2,0.0,G,mango
PUFA 18:3,0.0,G,mango
PUFA 20:4,0.0,G,mango
PUFA 18:4,0.0,G,mango
MUFA 20:1,0.0,G,mango
MUFA 22:1,0.0,G,mango
"Fatty acids, total monounsaturated",0.0,G,mango
"Fatty acids, total polyunsaturated",0.0,G,mango
Total lipid (fat),0.0,G,mango
"Carbohydrate, by difference",12.9,G,mango
"Fiber, total dietary",2.0,G,mango
Folic acid,0.0,UG,maple syrup
"Vitamin D (D2 + D3), International Units",0.0,IU,maple syrup
"Folate, food",0.0,UG,maple syrup
Energy,260,KCAL,maple syrup
Galactose,0.0,G,maple syrup
"Fiber, total dietary",0.0,G,maple syrup
"Iron, Fe",0.11,MG,maple syrup
"Magnesium, Mg",21.0,MG,maple syrup
"Sodium, Na",12.0,MG,maple syrup
"Copper, Cu",0.018,MG,maple syrup
"Manganese, Mn",2.91,MG,maple syrup
"Vitamin A, IU",0.0,IU,maple syrup
"Vitamin A, RAE",0.0,UG,maple syrup
"Vitamin C, total ascorbic acid",0.0,MG,maple syrup
Thiamin,0.066,MG,maple syrup
Riboflavin,1.27,MG,maple syrup
Cholesterol,0.0,MG,maple syrup
"Fatty acids, total saturated",0.007,G,maple syrup
SFA 8:0,0.0,G,maple syrup
SFA 12:0,0.0,G,maple syrup
SFA 14:0,0.0,G,maple syrup
PUFA 22:6 n-3 (DHA),0.0,G,maple syrup
MUFA 16:1,0.0,G,maple syrup
PUFA 20:5 n-3 (EPA),0.0,G,maple syrup
PUFA 22:5 n-3 (DPA),0.0,G,maple syrup
Protein,0.04,G,maple syrup
Ash,0.47,G,maple syrup
Fructose,0.52,G,maple syrup
Lactose,0.0,G,maple syrup
"Folate, DFE",0.0,UG,maple syrup
SFA 4:0,0.0,G,maple syrup
SFA 6:0,0.0,G,maple syrup
SFA 10:0,0.0,G,maple syrup
SFA 16:0,0.006,G,maple syrup
SFA 18:0,0.001,G,maple syrup
MUFA 18:1,0.011,G,maple syrup
PUFA 18:2,0.017,G,maple syrup
PUFA 18:3,0.0,G,maple syrup
PUFA 20:4,0.0,G,maple syrup
PUFA 18:4,0.0,G,maple syrup
MUFA 20:1,0.0,G,maple syrup
MUFA 22:1,0.0,G,maple syrup
"Fatty acids, total monounsaturated",0.011,G,maple syrup
"Fatty acids, total polyunsaturated",0.017,G,maple syrup
"Calcium, Ca",102,MG,maple syrup
"Potassium, K",212,MG,maple syrup
"Zinc, Zn",1.47,MG,maple syrup
Niacin,0.081,MG,maple syrup
Total lipid (fat),0.06,G,maple syrup
"Carbohydrate, by difference",67.0,G,maple syrup
Sucrose,58.3,G,maple syrup
Glucose,1.6,G,maple syrup
Maltose,0.0,G,maple syrup
Water,32.4,G,maple syrup
"Alcohol, ethyl",0.0,G,maple syrup
"Carotene, beta",0.0,UG,maple syrup
Retinol,0.0,UG,maple syrup
"Sugars, Total",60.5,G,maple syrup
"Phosphorus, P",2.0,MG,maple syrup
"Folate, total",0.0,UG,maple syrup
Vitamin B-12,0.0,UG,maple syrup
Pantothenic acid,0.036,MG,maple syrup
Vitamin B-6,0.002,MG,maple syrup
"Vitamin B-12, added",0.0,UG,maple syrup
"Vitamin E, added",0.0,MG,maple syrup
Vitamin E (alpha-tocopherol),0.0,MG,maple syrup
Caffeine,0.0,MG,maple syrup
Theobromine,0.0,MG,maple syrup
Lutein + zeaxanthin,0.0,UG,maple syrup
"Cryptoxanthin, beta",0.0,UG,maple syrup
Lycopene,0.0,UG,maple syrup
Vitamin K (phylloquinone),0.0,UG,maple syrup
"Carotene, alpha",0.0,UG,maple syrup
Vitamin D (D2 + D3),0.0,UG,maple syrup
"Selenium, Se",0.6,UG,maple syrup
"Choline, total",1.6,MG,maple syrup
Protein,0.08,G,margarita
Total lipid (fat),0.08,G,margarita
"Carbohydrate, by difference",16.1,G,margarita
Energy,122,KCAL,margarita
"Alcohol, ethyl",8.2,G,margarita
Water,75.1,G,margarita
Caffeine,0.0,MG,margarita
Theobromine,0.0,MG,margarita
"Sugars, total including NLEA",16.1,G,margarita
"Fiber, total dietary",0.0,G,margarita
"Calcium, Ca",2.0,MG,margarita
"Iron, Fe",0.09,MG,margarita
"Magnesium, Mg",1.0,MG,margarita
"Phosphorus, P",5.0,MG,margarita
"Potassium, K",22.0,MG,margarita
"Sodium, Na",204,MG,margarita
"Zinc, Zn",0.06,MG,margarita
"Copper, Cu",0.005,MG,margarita
"Selenium, Se",0.3,UG,margarita
Retinol,0.0,UG,margarita
"Vitamin A, RAE",0.0,UG,margarita
"Carotene, beta",0.0,UG,margarita
"Carotene, alpha",0.0,UG,margarita
Vitamin E (alpha-tocopherol),0.0,MG,margarita
Vitamin D (D2 + D3),0.0,UG,margarita
"Cryptoxanthin, beta",0.0,UG,margarita
Lycopene,0.0,UG,margarita
Lutein + zeaxanthin,0.0,UG,margarita
"Vitamin C, total ascorbic acid",2.0,MG,margarita
Thiamin,0.011,MG,margarita
Riboflavin,0.008,MG,margarita
Niacin,0.003,MG,margarita
Vitamin B-6,0.0,MG,margarita
"Folate, total",0.0,UG,margarita
Vitamin B-12,0.0,UG,margarita
"Choline, total",0.7,MG,margarita
Vitamin K (phylloquinone),0.0,UG,margarita
Folic acid,0.0,UG,margarita
"Folate, food",0.0,UG,margarita
"Folate, DFE",0.0,UG,margarita
"Vitamin E, added",0.0,MG,margarita
"Vitamin B-12, added",0.0,UG,margarita
Cholesterol,0.0,MG,margarita
"Fatty acids, total saturated",0.006,G,margarita
SFA 4:0,0.0,G,margarita
SFA 6:0,0.0,G,margarita
SFA 8:0,0.0,G,margarita
SFA 10:0,0.0,G,margarita
SFA 12:0,0.0,G,margarita
SFA 14:0,0.0,G,margarita
SFA 16:0,0.006,G,margarita
SFA 18:0,0.0,G,margarita
MUFA 18:1,0.002,G,margarita
PUFA 18:2,0.01,G,margarita
PUFA 18:3,0.004,G,margarita
PUFA 20:4,0.0,G,margarita
PUFA 22:6 n-3 (DHA),0.0,G,margarita
MUFA 16:1,0.0,G,margarita
PUFA 18:4,0.0,G,margarita
MUFA 20:1,0.0,G,margarita
PUFA 20:5 n-3 (EPA),0.0,G,margarita
MUFA 22:1,0.0,G,margarita
PUFA 22:5 n-3 (DPA),0.0,G,margarita
"Fatty acids, total monounsaturated",0.002,G,margarita
"Fatty acids, total polyunsaturated",0.015,G,margarita
Protein,3.18,G,marinade
Total lipid (fat),31.3,G,marinade
"Carbohydrate, by difference",12.8,G,marinade
Energy,348,KCAL,marinade
"Alcohol, ethyl",0.0,G,marinade
Water,46.2,G,marinade
Caffeine,0.0,MG,marinade
Theobromine,0.0,MG,marinade
"Sugars, total including NLEA",10.2,G,marinade
"Fiber, total dietary",0.5,G,marinade
"Calcium, Ca",17.0,MG,marinade
"Iron, Fe",0.78,MG,marinade
"Magnesium, Mg",31.0,MG,marinade
"Phosphorus, P",71.0,MG,marinade
"Potassium, K",185,MG,marinade
"Sodium, Na",1840.0,MG,marinade
"Zinc, Zn",0.4,MG,marinade
"Copper, Cu",0.03,MG,marinade
"Selenium, Se",2.9,UG,marinade
Retinol,0.0,UG,marinade
"Vitamin A, RAE",0.0,UG,marinade
"Carotene, beta",0.0,UG,marinade
"Carotene, alpha",0.0,UG,marinade
Vitamin E (alpha-tocopherol),4.85,MG,marinade
Vitamin D (D2 + D3),0.0,UG,marinade
"Cryptoxanthin, beta",0.0,UG,marinade
Lycopene,0.0,UG,marinade
Lutein + zeaxanthin,6.0,UG,marinade
"Vitamin C, total ascorbic acid",0.1,MG,marinade
Thiamin,0.024,MG,marinade
Riboflavin,0.062,MG,marinade
Niacin,0.819,MG,marinade
Vitamin B-6,0.07,MG,marinade
"Folate, total",7.0,UG,marinade
Vitamin B-12,0.0,UG,marinade
"Choline, total",8.2,MG,marinade
Vitamin K (phylloquinone),32.5,UG,marinade
Folic acid,0.0,UG,marinade
"Folate, food",7.0,UG,marinade
"Folate, DFE",7.0,UG,marinade
"Vitamin E, added",0.0,MG,marinade
"Vitamin B-12, added",0.0,UG,marinade
Cholesterol,0.0,MG,marinade
"Fatty acids, total saturated",4.26,G,marinade
SFA 4:0,0.0,G,marinade
SFA 6:0,0.0,G,marinade
SFA 8:0,0.0,G,marinade
SFA 10:0,0.004,G,marinade
SFA 12:0,0.0,G,marinade
SFA 14:0,0.015,G,marinade
SFA 16:0,3.06,G,marinade
SFA 18:0,0.927,G,marinade
MUFA 18:1,12.2,G,marinade
PUFA 18:2,11.1,G,marinade
PUFA 18:3,1.44,G,marinade
PUFA 20:4,0.001,G,marinade
PUFA 22:6 n-3 (DHA),0.0,G,marinade
MUFA 16:1,0.106,G,marinade
PUFA 18:4,0.0,G,marinade
MUFA 20:1,0.25,G,marinade
PUFA 20:5 n-3 (EPA),0.0,G,marinade
MUFA 22:1,0.103,G,marinade
PUFA 22:5 n-3 (DPA),0.0,G,marinade
"Fatty acids, total monounsaturated",12.6,G,marinade
"Fatty acids, total polyunsaturated",12.6,G,marinade
Protein,16.7,G,marsala
Total lipid (fat),8.66,G,marsala
"Carbohydrate, by difference",6.7,G,marsala
Energy,175,KCAL,marsala
"Alcohol, ethyl",0.0,G,marsala
Water,66.7,G,marsala
Caffeine,0.0,MG,marsala
Theobromine,0.0,MG,marsala
"Sugars, total including NLEA",0.51,G,marsala
"Fiber, total dietary",0.4,G,marsala
"Calcium, Ca",10.0,MG,marsala
"Iron, Fe",1.11,MG,marsala
"Magnesium, Mg",21.0,MG,marsala
"Phosphorus, P",153,MG,marsala
"Potassium, K",294,MG,marsala
"Sodium, Na",138,MG,marsala
"Zinc, Zn",1.83,MG,marsala
"Copper, Cu",0.131,MG,marsala
"Selenium, Se",9.7,UG,marsala
Retinol,38.0,UG,marsala
"Vitamin A, RAE",43.0,UG,marsala
"Carotene, beta",55.0,UG,marsala
"Carotene, alpha",0.0,UG,marsala
Vitamin E (alpha-tocopherol),0.64,MG,marsala
Vitamin D (D2 + D3),0.0,UG,marsala
"Cryptoxanthin, beta",0.0,UG,marsala
Lycopene,0.0,UG,marsala
Lutein + zeaxanthin,52.0,UG,marsala
"Vitamin C, total ascorbic acid",1.4,MG,marsala
Thiamin,0.094,MG,marsala
Riboflavin,0.262,MG,marsala
Niacin,6.43,MG,marsala
Vitamin B-6,0.19,MG,marsala
"Folate, total",22.0,UG,marsala
Vitamin B-12,0.65,UG,marsala
"Choline, total",64.8,MG,marsala
Vitamin K (phylloquinone),19.0,UG,marsala
Folic acid,7.0,UG,marsala
"Folate, food",15.0,UG,marsala
"Folate, DFE",27.0,UG,marsala
"Vitamin E, added",0.0,MG,marsala
"Vitamin B-12, added",0.0,UG,marsala
Cholesterol,69.0,MG,marsala
"Fatty acids, total saturated",3.64,G,marsala
SFA 4:0,0.105,G,marsala
SFA 6:0,0.074,G,marsala
SFA 8:0,0.043,G,marsala
SFA 10:0,0.098,G,marsala
SFA 12:0,0.118,G,marsala
SFA 14:0,0.461,G,marsala
SFA 16:0,1.85,G,marsala
SFA 18:0,0.765,G,marsala
MUFA 18:1,2.75,G,marsala
PUFA 18:2,0.46,G,marsala
PUFA 18:3,0.046,G,marsala
PUFA 20:4,0.039,G,marsala
PUFA 22:6 n-3 (DHA),0.0,G,marsala
MUFA 16:1,0.175,G,marsala
PUFA 18:4,0.001,G,marsala
MUFA 20:1,0.011,G,marsala
PUFA 20:5 n-3 (EPA),0.001,G,marsala
MUFA 22:1,0.0,G,marsala
PUFA 22:5 n-3 (DPA),0.002,G,marsala
"Fatty acids, total monounsaturated",3.0,G,marsala
"Fatty acids, total polyunsaturated",0.537,G,marsala
Protein,1.34,G,marscarpone
Total lipid (fat),2.15,G,marscarpone
"Carbohydrate, by difference",29.6,G,marscarpone
Energy,134,KCAL,marscarpone
"Alcohol, ethyl",0.0,G,marscarpone
Water,66.3,G,marscarpone
Caffeine,0.0,MG,marscarpone
Theobromine,0.0,MG,marscarpone
"Sugars, total including NLEA",24.2,G,marscarpone
"Fiber, total dietary",1.8,G,marscarpone
"Calcium, Ca",39.0,MG,marscarpone
"Iron, Fe",0.12,MG,marscarpone
"Magnesium, Mg",8.0,MG,marscarpone
"Phosphorus, P",37.0,MG,marscarpone
"Potassium, K",134,MG,marscarpone
"Sodium, Na",62.0,MG,marscarpone
"Zinc, Zn",0.14,MG,marscarpone
"Copper, Cu",0.025,MG,marscarpone
"Selenium, Se",0.4,UG,marscarpone
Retinol,3.0,UG,marscarpone
"Vitamin A, RAE",5.0,UG,marscarpone
"Carotene, beta",21.0,UG,marscarpone
"Carotene, alpha",0.0,UG,marscarpone
Vitamin E (alpha-tocopherol),0.25,MG,marscarpone
Vitamin D (D2 + D3),0.0,UG,marscarpone
"Cryptoxanthin, beta",8.0,UG,marscarpone
Lycopene,0.0,UG,marscarpone
Lutein + zeaxanthin,22.0,UG,marscarpone
"Vitamin C, total ascorbic acid",3.6,MG,marscarpone
Thiamin,0.038,MG,marscarpone
Riboflavin,0.084,MG,marscarpone
Niacin,0.105,MG,marscarpone
Vitamin B-6,0.045,MG,marscarpone
"Folate, total",3.0,UG,marscarpone
Vitamin B-12,0.08,UG,marscarpone
"Choline, total",4.6,MG,marscarpone
Vitamin K (phylloquinone),2.1,UG,marscarpone
Folic acid,0.0,UG,marscarpone
"Folate, food",3.0,UG,marscarpone
"Folate, DFE",3.0,UG,marscarpone
"Vitamin E, added",0.0,MG,marscarpone
"Vitamin B-12, added",0.0,UG,marscarpone
Cholesterol,2.0,MG,marscarpone
"Fatty acids, total saturated",0.64,G,marscarpone
SFA 4:0,0.012,G,marscarpone
SFA 6:0,0.003,G,marscarpone
SFA 8:0,0.003,G,marscarpone
SFA 10:0,0.006,G,marscarpone
SFA 12:0,0.004,G,marscarpone
SFA 14:0,0.048,G,marscarpone
SFA 16:0,0.488,G,marscarpone
SFA 18:0,0.076,G,marscarpone
MUFA 18:1,0.367,G,marscarpone
PUFA 18:2,0.894,G,marscarpone
PUFA 18:3,0.013,G,marscarpone
PUFA 20:4,0.002,G,marscarpone
PUFA 22:6 n-3 (DHA),0.0,G,marscarpone
MUFA 16:1,0.024,G,marscarpone
PUFA 18:4,0.0,G,marscarpone
MUFA 20:1,0.0,G,marscarpone
PUFA 20:5 n-3 (EPA),0.0,G,marscarpone
MUFA 22:1,0.0,G,marscarpone
PUFA 22:5 n-3 (DPA),0.0,G,marscarpone
"Fatty acids, total monounsaturated",0.391,G,marscarpone
"Fatty acids, total polyunsaturated",0.908,G,marscarpone
Protein,0.8,G,marshmallow
Total lipid (fat),0.3,G,marshmallow
"Carbohydrate, by difference",79.0,G,marshmallow
Energy,322,KCAL,marshmallow
"Alcohol, ethyl",0.0,G,marshmallow
